,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date (Unix)
0,omboue,GA,-1.5746,9.2618,79.45,76,100,11.34,1634646939
1,kodiak,US,57.79,-152.4072,42.39,94,100,15.93,1634646940
2,hobart,AU,-42.8794,147.3294,43.05,79,20,1.01,1634646941
3,nyurba,RU,63.2842,118.3319,34.5,89,99,10.25,1634646942
4,chuy,UY,-33.6971,-53.4616,63.81,62,0,4.59,1634646943
5,samarai,PG,-10.6167,150.6667,80.94,82,43,7.56,1634646944
6,hamilton,US,39.1834,-84.5333,51.24,92,90,0.0,1634646900
7,san policarpo,PH,12.1791,125.5072,82.17,80,47,3.04,1634646945
8,ribeira grande,PT,38.5167,-28.7,72.0,68,20,11.5,1634646946
9,karratha,AU,-20.7377,116.8463,75.25,61,100,17.11,1634646947
10,ushuaia,AR,-54.8,-68.3,47.86,53,75,17.27,1634646697
11,farim,GW,12.4839,-15.2217,91.69,48,95,3.71,1634646948
12,vaini,TO,-21.2,-175.2,71.76,88,20,9.22,1634646949
13,hilo,US,19.7297,-155.09,82.27,78,90,3.44,1634646950
14,tombouctou,ML,20.0,-3.0,95.94,7,7,14.03,1634646951
15,tiarei,PF,-17.5333,-149.3333,77.02,80,50,15.01,1634646952
16,hualmay,PE,-11.0964,-77.6139,63.86,81,77,6.46,1634646953
17,college,US,64.8569,-147.8028,29.86,81,1,3.44,1634646812
18,rikitea,PF,-23.1203,-134.9692,74.16,77,5,20.78,1634646954
19,atuona,PF,-9.8,-139.0333,76.98,79,55,21.63,1634646955
20,esperance,AU,-33.8667,121.9,64.24,65,100,23.06,1634646956
21,bilibino,RU,68.0546,166.4372,4.95,95,100,3.87,1634646957
22,pokhara,NP,28.2333,83.9833,68.31,94,100,2.44,1634646872
23,bluff,NZ,-46.6,168.3333,47.35,59,57,11.48,1634646959
24,yellowknife,CA,62.456,-114.3525,30.29,100,40,5.75,1634646960
25,lagos,NG,6.5833,3.75,88.12,66,88,4.72,1634646712
26,katsuura,JP,35.1333,140.3,59.11,92,100,7.4,1634646962
27,sayyan,YE,15.1718,44.3244,69.35,16,37,16.64,1634646963
28,leningradskiy,RU,69.3833,178.4167,19.18,91,100,2.19,1634646964
29,jamestown,US,42.097,-79.2353,50.72,100,1,6.91,1634646965
30,provideniya,RU,64.3833,-173.3,32.2,97,100,9.15,1634646965
31,nhulunbuy,AU,-12.2333,136.7667,81.21,83,5,4.61,1634646966
32,arman,RU,59.7,150.1667,12.47,51,5,7.96,1634646734
33,starkville,US,33.4504,-88.8184,42.46,100,20,0.0,1634646968
34,ancud,CL,-41.8697,-73.8203,56.43,83,7,2.91,1634646969
